BasicBlock Index,Hit Count
0,0
1,55088
2,2939
3,52149
4,55088
5,1
6,4
7,3
8,3
9,1
10,2
11,1
12,1
13,1
14,2
15,1
16,1
17,1
18,2
19,1
20,1
21,1
22,2
23,1
24,1
25,1
26,2
27,1
28,1
29,1
30,2
31,1
32,1
33,1
34,2
35,1
36,1
37,1
38,10
39,9
40,369
41,360
42,6480
43,6120
44,61200
45,55080
46,116036
47,60956
48,60956
49,55080
50,55080
51,6120
52,6120
53,360
54,360
55,9
56,9
57,1
58,50001
59,50000
60,50000
61,1
62,16385
63,16384
64,16384
65,1
66,360002
67,360001
68,360001
69,1
70,11522
71,11521
72,11521
73,1
74,0
75,0
76,66384
77,2190672
78,2124288
79,942508
80,2124288
81,2124288
82,66384
