Global Variable Memory Region Profile Result

Index,Read Count,Write Count,Memory Size,Name, Type  
33,0,0,8,stderr,%struct._IO_FILE.1** 
32,0,0,8,.str9,[171 x i8]* 
31,0,0,8,.str8,[26 x i8]* 
30,0,0,8,.str7,[124 x i8]* 
29,0,0,8,.str6,[4 x i8]* 
28,0,0,8,.str5,[23 x i8]* 
27,0,0,8,.str4,[100 x i8]* 
26,0,0,8,.str31,[26 x i8]* 
25,0,0,8,.str30,[26 x i8]* 
24,0,0,8,.str3,[3 x i8]* 
23,0,0,8,.str29,[19 x i8]* 
22,0,0,8,.str28,[65 x i8]* 
21,0,0,8,.str27,[40 x i8]* 
20,0,0,8,.str26,[61 x i8]* 
19,0,0,8,.str25,[54 x i8]* 
18,0,0,8,.str24,[23 x i8]* 
17,0,0,8,.str23,[65 x i8]* 
16,0,0,8,.str22,[14 x i8]* 
15,0,0,8,.str21,[125 x i8]* 
14,0,0,8,.str20,[46 x i8]* 
13,0,0,8,.str2,[17 x i8]* 
12,0,0,8,.str19,[2 x i8]* 
11,0,0,8,.str18,[14 x i8]* 
10,0,0,8,.str17,[2 x i8]* 
9,0,0,8,.str16,[31 x i8]* 
8,0,0,8,.str15,[3 x i8]* 
7,0,0,8,.str14,[21 x i8]* 
6,0,0,8,.str13,[9 x i8]* 
5,0,0,8,.str12,[28 x i8]* 
4,0,0,8,.str11,[18 x i8]* 
3,0,0,8,.str10,[43 x i8]* 
2,0,0,8,.str1,[44 x i8]* 
1,0,0,8,.str,[18 x i8]* 


