Heap Variable Memory Region Profile Result

Index,Read Count,Write Count,Average Memory Size,Pointer Scope,Pointer Name,Pointer Type,Function Name,Line Number,Source File
0,0,0,0,(null),(null),(null),0,(null),0,0,0
1,0,0,0,--,--,,init_file,792,mobibench.c,0,0,0
2,0,0,0,--,--,,initfile,520,mobibench.c,0,0,0
3,0,0,0,--,--,%struct.script_entry.4*,replay_script,1962,mobibench.c,0,0,0
4,0,0,0,--,--,%struct.script_thread_time.5*,replay_script,2017,mobibench.c,0,0,0
5,0,0,0,--,--,,replay_script,1988,mobibench.c,0,0,0
6,0,0,0,--,--,,replay_script,1993,mobibench.c,0,0,0
7,0,0,0,--,--,i64*,replay_script,2101,mobibench.c,0,0,0
8,0,0,0,--,--,%struct.script_thread_info.15*,replay_script,2108,mobibench.c,0,0,0
9,0,0,0,--,--,i32*,replay_script,2116,mobibench.c,0,0,0
10,0,0,0,--,--,i32*,replay_script,2124,mobibench.c,0,0,0
11,0,0,0,--,--,,replay_script,2132,mobibench.c,0,0,0
12,0,0,0,--,--,,replay_script,2133,mobibench.c,0,0,0
13,0,0,0,--,--,i64*,thread_main,892,mobibench.c,0,0,0
14,0,0,0,--,--,i64*,thread_main,893,mobibench.c,0,0,0


